sensor, date, amplitude
Sensor 15,20250526,54.01
Sensor 15,20250527,32.17
Sensor 15,20250528,20.03
Sensor 15,20250529,22.20
Sensor 15,20250530,22.02
Sensor 15,20250531,32.05
Sensor 15,20250601,19.27
Sensor 15,20250602,36.97
Sensor 15,20250603,123.21
Sensor 15,20250604,55.63
Sensor 16,20250505,4.71
Sensor 16,20250506,0.84
Sensor 16,20250507,0.85
Sensor 16,20250508,3.66
Sensor 16,20250509,5.44
Sensor 16,20250510,1.66
Sensor 16,20250511,26.79
Sensor 16,20250512,16.24
Sensor 16,20250513,20.46
Sensor 16,20250514,17.36
Sensor 16,20250515,16.81
Sensor 16,20250516,34.50
Sensor 16,20250517,14.57
Sensor 16,20250518,8.95
Sensor 16,20250519,22.45
Sensor 16,20250520,69.97
Sensor 16,20250521,3.19
Sensor 16,20250522,1.26
Sensor 16,20250523,3.37
Sensor 16,20250524,6.44
Sensor 16,20250525,3.49
Sensor 16,20250526,4.77
Sensor 16,20250527,7.79
Sensor 16,20250528,4.39
Sensor 16,20250529,5.89
Sensor 16,20250530,5.65
Sensor 16,20250531,4.59
Sensor 17,20250505,56.59
Sensor 17,20250506,5.70
Sensor 17,20250507,13.13
Sensor 17,20250508,28.08
Sensor 17,20250509,24.13
Sensor 17,20250510,46.83
Sensor 17,20250511,79.39
Sensor 17,20250512,48.65
Sensor 17,20250513,48.18
Sensor 17,20250514,87.37
Sensor 17,20250515,120.10
Sensor 17,20250516,127.66
Sensor 17,20250517,59.19
Sensor 17,20250518,34.35
Sensor 17,20250519,62.83
Sensor 17,20250520,85.24
Sensor 17,20250521,26.53
Sensor 17,20250522,34.86
Sensor 17,20250523,87.02
Sensor 17,20250524,84.25
Sensor 17,20250525,74.90
Sensor 17,20250526,72.53
Sensor 17,20250527,61.23
Sensor 17,20250528,50.43
Sensor 17,20250529,109.44
Sensor 17,20250530,76.53
Sensor 17,20250531,56.85
Sensor 17,20250601,81.03
Sensor 17,20250602,42.04
Sensor 17,20250603,4.03
Sensor 18,20250504,0.00
Sensor 18,20250505,12.98
Sensor 18,20250506,2.19
Sensor 18,20250507,6.73
Sensor 18,20250508,22.05
Sensor 18,20250509,24.23
Sensor 18,20250510,28.44
Sensor 18,20250511,46.92
Sensor 18,20250512,13.47
Sensor 18,20250513,24.86
Sensor 18,20250514,31.56
Sensor 18,20250515,31.64
Sensor 18,20250516,56.07
Sensor 18,20250517,34.75
Sensor 18,20250518,19.37
Sensor 18,20250519,45.66
Sensor 18,20250520,54.05
Sensor 18,20250521,34.30
Sensor 18,20250522,16.88
Sensor 18,20250523,49.94
Sensor 18,20250524,105.99
Sensor 18,20250525,97.86
Sensor 18,20250526,70.59
Sensor 18,20250527,56.67
Sensor 18,20250528,58.00
Sensor 18,20250529,104.79
Sensor 18,20250530,61.20
Sensor 18,20250531,35.59
Sensor 18,20250601,102.19
Sensor 18,20250602,35.17
Sensor 18,20250603,38.84
Sensor 18,20250604,6.23
Sensor 19,20250505,59.02
Sensor 19,20250506,5.43
Sensor 19,20250507,15.17
Sensor 19,20250508,40.06
Sensor 19,20250509,69.83
Sensor 19,20250510,47.54
Sensor 19,20250511,131.38
Sensor 19,20250512,93.83
Sensor 19,20250513,52.74
Sensor 19,20250514,151.29
Sensor 19,20250515,109.18
Sensor 19,20250516,161.47
Sensor 19,20250517,113.27
Sensor 19,20250518,62.65
Sensor 19,20250519,296.37
Sensor 19,20250520,456.61
Sensor 19,20250521,9.87
Sensor 19,20250522,17.98
Sensor 19,20250523,129.25
Sensor 19,20250524,170.50
Sensor 19,20250525,56.26
Sensor 19,20250526,48.21
Sensor 19,20250527,50.38
Sensor 19,20250528,29.23
Sensor 19,20250529,35.07
Sensor 19,20250530,39.01
Sensor 19,20250531,41.19
Sensor 19,20250601,52.88
Sensor 19,20250602,92.20
Sensor 19,20250603,0.00
Sensor 2,.Spotlight-V100,0.00
Sensor 2,20250505,1.16
Sensor 2,20250506,0.74
Sensor 2,20250507,3.20
Sensor 2,20250508,1.09
Sensor 2,20250509,0.08
Sensor 2,20250510,0.45
Sensor 2,20250511,0.43
Sensor 2,20250512,1.12
Sensor 2,20250513,2.41
Sensor 2,20250514,2.88
Sensor 2,20250515,3.08
Sensor 2,20250516,4.71
Sensor 2,20250517,1.65
Sensor 2,20250518,1.39
Sensor 2,20250519,0.09
Sensor 2,20250520,0.15
Sensor 2,20250521,1.42
Sensor 2,20250522,1.46
Sensor 2,20250523,0.94
Sensor 2,20250524,0.45
Sensor 2,20250525,0.81
Sensor 2,20250526,2.46
Sensor 2,20250527,2.04
Sensor 2,20250528,2.12
Sensor 2,20250529,1.59
Sensor 2,20250530,1.82
Sensor 2,20250531,0.36
Sensor 2,20250601,0.37
Sensor 2,20250602,1.67
Sensor 2,20250603,0.91
Sensor 2,20250604,1.09
Sensor 2,20250605,0.00
Sensor 20,20250505,86.33
Sensor 20,20250506,18.32
Sensor 20,20250507,15.31
Sensor 20,20250508,32.93
Sensor 20,20250509,43.18
Sensor 20,20250510,31.24
Sensor 20,20250511,95.85
Sensor 20,20250512,35.90
Sensor 20,20250513,6.38
Sensor 20,20250514,12.94
Sensor 20,20250515,13.75
Sensor 20,20250516,24.13
Sensor 20,20250517,7.31
Sensor 20,20250518,3.39
Sensor 20,20250519,0.96
Sensor 20,20250520,1.83
Sensor 20,20250521,1.99
Sensor 20,20250522,3.04
Sensor 20,20250523,0.78
Sensor 20,20250524,0.58
Sensor 20,20250525,1.77
Sensor 20,20250526,2.61
Sensor 20,20250527,10.01
Sensor 20,20250528,5.40
Sensor 20,20250529,7.40
Sensor 20,20250530,9.83
Sensor 20,20250531,1.54
Sensor 20,20250601,2.71
Sensor 20,20250602,2.60
Sensor 20,New folder,0.00
Sensor 21,.Spotlight-V100,0.00
Sensor 21,20250505,21.09
Sensor 21,20250506,3.14
Sensor 21,20250507,4.17
Sensor 21,20250508,13.52
Sensor 21,20250509,15.10
Sensor 21,20250510,13.22
Sensor 21,20250511,65.78
Sensor 21,20250512,11.92
Sensor 21,20250513,18.86
Sensor 21,20250514,42.08
Sensor 21,20250515,38.57
Sensor 21,20250516,57.34
Sensor 21,20250517,27.81
Sensor 21,20250518,14.93
Sensor 21,20250519,51.05
Sensor 21,20250520,31.71
Sensor 21,20250521,23.33
Sensor 21,20250522,14.78
Sensor 21,20250523,44.17
Sensor 21,20250524,83.15
Sensor 21,20250525,73.07
Sensor 21,20250526,55.18
Sensor 21,20250527,50.50
Sensor 21,20250528,34.71
Sensor 21,20250529,62.18
Sensor 21,20250530,35.99
Sensor 21,20250531,31.69
Sensor 21,20250601,110.81
Sensor 21,20250602,37.19
Sensor 21,20250603,34.93
Sensor 21,20250604,50.79
Sensor 21,20250605,0.00
Sensor 22,20250505,13.63
Sensor 22,20250506,4.77
Sensor 22,20250507,6.54
Sensor 22,20250508,211.36
Sensor 22,20250509,55.53
Sensor 22,20250510,194.43
Sensor 22,20250511,332.44
Sensor 22,20250512,164.88
Sensor 22,20250513,41.27
Sensor 22,20250514,36.87
Sensor 22,20250515,41.31
Sensor 22,20250516,57.43
Sensor 22,20250517,52.30
Sensor 22,20250518,20.47
Sensor 22,20250519,98.25
Sensor 22,20250520,131.57
Sensor 22,20250521,3.58
Sensor 22,20250522,4.44
Sensor 22,20250523,33.38
Sensor 22,20250524,46.25
Sensor 22,20250525,45.22
Sensor 22,20250526,64.64
Sensor 22,20250527,51.49
Sensor 22,20250528,63.90
Sensor 22,20250529,52.95
Sensor 22,20250530,42.95
Sensor 22,20250531,48.12
Sensor 22,20250601,28.41
