sensor, date, amplitude
Sensor 2,20250629,0.54
Sensor 2,20250630,1.37
Sensor 2,20250701,1.03
Sensor 2,20250702,2.98
Sensor 2,20250703,0.78
Sensor 2,20250704,0.05
Sensor 2,20250705,0.10
Sensor 20,20250606,33.80
Sensor 20,20250607,17.13
Sensor 20,20250608,20.86
Sensor 20,20250609,132.09
Sensor 20,20250610,544.68
Sensor 20,20250611,428.59
Sensor 20,20250612,427.99
Sensor 20,20250613,686.28
Sensor 20,20250614,440.81
Sensor 20,20250615,550.84
Sensor 20,20250616,352.57
Sensor 20,20250617,690.27
Sensor 20,20250618,583.73
Sensor 20,20250619,259.86
Sensor 20,20250620,421.40
Sensor 20,20250621,192.87
Sensor 20,20250622,314.32
Sensor 20,20250623,234.16
Sensor 20,20250624,306.34
Sensor 20,20250625,233.13
Sensor 20,20250626,402.31
Sensor 20,20250627,156.81
Sensor 20,20250628,266.29
Sensor 20,20250629,242.04
Sensor 20,20250630,164.26
Sensor 20,20250701,60.97
Sensor 20,20250702,35.64
Sensor 20,20250703,36.14
Sensor 20,20250704,32.80
Sensor 20,20250705,21.93
Sensor 20,20250706,1.50
Sensor 22,20250606,30.55
Sensor 22,20250607,18.85
Sensor 22,20250608,34.90
Sensor 22,20250609,8.33
Sensor 22,20250610,12.79
Sensor 22,20250611,10.84
Sensor 22,20250612,22.86
Sensor 22,20250613,24.10
Sensor 22,20250614,35.55
Sensor 22,20250615,11.73
Sensor 22,20250616,18.98
Sensor 22,20250617,164.32
Sensor 22,20250618,308.20
Sensor 22,20250619,224.19
Sensor 22,20250620,329.10
Sensor 22,20250621,122.12
Sensor 22,20250622,25.65
Sensor 22,20250623,28.53
Sensor 22,20250624,13.49
Sensor 22,20250625,9.92
Sensor 22,20250626,17.15
Sensor 22,20250627,50.21
Sensor 22,20250628,61.94
Sensor 22,20250629,67.39
Sensor 22,20250630,15.91
Sensor 22,20250701,0.00
Sensor 24,20250606,22.94
Sensor 24,20250607,12.29
Sensor 24,20250608,14.06
Sensor 24,20250609,20.96
Sensor 24,20250610,14.59
Sensor 24,20250611,33.86
Sensor 24,20250612,91.84
Sensor 24,20250613,109.18
Sensor 25,20250606,28.45
Sensor 25,20250607,41.47
Sensor 25,20250608,62.61
Sensor 25,20250609,29.77
Sensor 25,20250610,107.45
Sensor 25,20250611,129.38
