sensor, date, amplitude
Sensor 16,20250526,4.21
Sensor 16,20250527,5.05
Sensor 16,20250528,4.22
Sensor 16,20250529,5.36
Sensor 16,20250530,5.27
Sensor 16,20250531,4.46
Sensor 17,20250505,0.67
Sensor 17,20250506,0.53
Sensor 17,20250507,2.53
Sensor 17,20250508,17.93
Sensor 17,20250509,13.33
Sensor 17,20250510,15.19
Sensor 17,20250511,45.98
Sensor 17,20250512,37.89
Sensor 17,20250513,41.85
Sensor 17,20250514,72.91
Sensor 17,20250515,117.78
Sensor 17,20250516,116.09
Sensor 17,20250517,53.91
Sensor 17,20250518,23.46
Sensor 17,20250519,36.07
Sensor 17,20250520,22.62
Sensor 17,20250521,15.40
Sensor 17,20250522,10.67
Sensor 17,20250523,25.60
Sensor 17,20250524,30.21
Sensor 17,20250525,35.76
Sensor 17,20250526,60.61
Sensor 17,20250527,48.13
Sensor 17,20250528,41.54
Sensor 17,20250529,77.49
Sensor 17,20250530,59.58
Sensor 17,20250531,25.15
Sensor 17,20250601,68.07
Sensor 17,20250602,33.48
Sensor 17,20250603,2.90
Sensor 18,20250504,0.00
Sensor 18,20250505,0.83
Sensor 18,20250506,0.44
Sensor 18,20250507,2.72
Sensor 18,20250508,7.72
Sensor 18,20250509,1.87
Sensor 18,20250510,5.98
Sensor 18,20250511,18.90
Sensor 18,20250512,12.79
Sensor 18,20250513,21.23
Sensor 18,20250514,19.38
Sensor 18,20250515,22.32
Sensor 18,20250516,38.98
Sensor 18,20250517,22.18
Sensor 18,20250518,8.98
Sensor 18,20250519,9.42
Sensor 18,20250520,16.49
Sensor 18,20250521,28.80
Sensor 18,20250522,8.95
Sensor 18,20250523,24.29
Sensor 18,20250524,22.77
Sensor 18,20250525,33.31
Sensor 18,20250526,35.15
Sensor 18,20250527,38.29
Sensor 18,20250528,45.41
Sensor 18,20250529,59.69
Sensor 18,20250530,32.87
Sensor 18,20250531,12.83
Sensor 18,20250601,33.74
Sensor 18,20250602,8.37
Sensor 18,20250603,9.01
Sensor 18,20250604,0.82
Sensor 19,20250505,0.97
Sensor 19,20250506,1.53
Sensor 19,20250507,3.95
Sensor 19,20250508,17.20
Sensor 19,20250509,2.15
Sensor 19,20250510,7.75
Sensor 19,20250511,56.50
Sensor 19,20250512,28.31
Sensor 19,20250513,37.73
Sensor 19,20250514,112.35
Sensor 19,20250515,59.20
Sensor 19,20250516,127.70
Sensor 19,20250517,87.99
Sensor 19,20250518,42.79
Sensor 19,20250519,225.35
Sensor 19,20250520,329.45
Sensor 19,20250521,7.78
Sensor 19,20250522,15.77
Sensor 19,20250523,71.14
Sensor 19,20250524,167.67
Sensor 19,20250525,53.36
Sensor 19,20250526,32.27
Sensor 19,20250527,24.25
Sensor 19,20250528,13.14
Sensor 19,20250529,21.82
Sensor 19,20250530,17.15
Sensor 19,20250531,26.09
Sensor 19,20250601,30.26
Sensor 19,20250602,27.83
Sensor 19,20250603,0.00
Sensor 2,.Spotlight-V100,0.00
Sensor 2,20250505,0.18
Sensor 2,20250506,0.06
Sensor 2,20250507,0.01
Sensor 2,20250508,0.37
Sensor 2,20250509,0.00
Sensor 2,20250510,0.13
Sensor 2,20250511,0.05
Sensor 2,20250512,0.49
Sensor 2,20250513,1.94
Sensor 2,20250514,2.70
Sensor 2,20250515,2.74
Sensor 2,20250516,4.18
Sensor 2,20250517,1.54
Sensor 2,20250518,1.33
Sensor 2,20250519,0.04
Sensor 2,20250520,0.09
