Nest ID,Sensor ID,distance
25-AB-07,11,0.27203491534365426
25-AB-07,7,0.31402459912333874
25-AB-07,2,0.32257816082928725
25-AB-07,15,0.33567725970677503
25-AB-07,4,0.3643949574004064
25-AB-07,12,0.3691255918609532
25-AB-07,22,0.3837564824273869
25-AB-07,1,0.3849288253118838
25-AB-07,19,0.40182260008233445
25-AB-07,8,0.4134717611457338
25-AB-07,3,0.4206377531095742
25-AB-07,16,0.4301118819726771
25-AB-07,25,0.4540407795123772
25-AB-07,5,0.46375536412682733
25-AB-07,23,0.4685728784660936
25-AB-07,13,0.46884876640438644
25-AB-07,20,0.4938065075966484
25-AB-07,9,0.5137784512732569
25-AB-07,17,0.5275100253086205
25-AB-07,26,0.5371323294247388
25-AB-07,24,0.5592850112141656
25-AB-07,6,0.5640012766415772
25-AB-07,14,0.5675197113177922
25-AB-07,21,0.5890379180980936
25-AB-07,10,0.6133233439316679
25-AB-07,18,0.6253892157252998
25-EL-03,22,0.28477952318153105
25-EL-03,25,0.3222871227760526
25-EL-03,11,0.32852290755029007
25-EL-03,15,0.3323989006233621
25-EL-03,19,0.35093716160738175
25-EL-03,23,0.3802047621385756
25-EL-03,7,0.3996194557459073
25-EL-03,12,0.4016746280196728
25-EL-03,16,0.41709825594546457
25-EL-03,26,0.4211796506367819
25-EL-03,20,0.4435151554267584
25-EL-03,4,0.4701995534093047
25-EL-03,8,0.47244916356192085
25-EL-03,2,0.4779903790121186
25-EL-03,24,0.47911046132663865
25-EL-03,13,0.48575162799280136
25-EL-03,17,0.50758546792338
25-EL-03,21,0.5393824301292348
25-EL-03,3,0.5407957480216214
25-EL-03,5,0.5427140823258146
25-EL-03,1,0.5475473309316231
25-EL-03,9,0.554368323468685
25-EL-03,14,0.573916835272081
25-EL-03,18,0.6019139032326365
25-EL-03,6,0.6234373713946029
25-EL-03,10,0.6408497843004709
25-MP-01,7,0.030514096789600355
25-MP-01,4,0.054372671990414
25-MP-01,2,0.06951714750809042
25-MP-01,12,0.0946883326640793
25-MP-01,11,0.09470064566966074
25-MP-01,8,0.1050046208053411
25-MP-01,3,0.12232063864384998
25-MP-01,1,0.12961366341979985
25-MP-01,15,0.1305401745020321
25-MP-01,5,0.15162322903035222
25-MP-01,16,0.16463354370321823
25-MP-01,13,0.17111986866562864
25-MP-01,19,0.18766653355246865
25-MP-01,9,0.2031861534859376
25-MP-01,22,0.23168628535717084
25-MP-01,20,0.23526187244235525
25-MP-01,17,0.24006070711180635
25-MP-01,6,0.25153072158718737
25-MP-01,23,0.2524193602473877
25-MP-01,14,0.2632267561641663
25-MP-01,25,0.28628285145387916
25-MP-01,10,0.30204163685898655
25-MP-01,24,0.3061010102867751
25-MP-01,21,0.3093811982814983
25-MP-01,26,0.3194698302642652
25-MP-01,18,0.3282013951652077
25-NP-04,11,0.04204795944738965
25-NP-04,15,0.0593217989729837
25-NP-04,7,0.10860187374492869
25-NP-04,12,0.11538806574128792
25-NP-04,19,0.12399907888119249
25-NP-04,22,0.12451598018489962
25-NP-04,16,0.15852926403379186
25-NP-04,4,0.17828745070508245
25-NP-04,8,0.18286070113906644
25-NP-04,23,0.19258865897698493
25-NP-04,25,0.1935519538339983
25-NP-04,2,0.1999603283742481
25-NP-04,13,0.21300932226015992
25-NP-04,20,0.21692039078786896
25-NP-04,3,0.24851386517862353
25-NP-04,5,0.2517310846331182
25-NP-04,17,0.25891077509522853
25-NP-04,26,0.2628971325164945
25-NP-04,1,0.2644198937186845
25-NP-04,9,0.27448595638230716
25-NP-04,24,0.28121753908124086
25-NP-04,14,0.31133382193817133
25-NP-04,21,0.3147528447174374
